products_id,purchSE_PRICE
80412,0.75
101796,0.75
104854,0.75
106884,0.75
108077,0.75
121590,0.75
124710,0.75
14665,1
44104,1
44107,1
44115,1
44117,1
44118,1
45165,1
71055,1
71056,1
77576,1
77577,1
81505,1
84967,1
87207,1
87589,1
91566,1
92441,1
99105,1
101784,1
102742,1
102744,1
108072,1
108073,1
109633,1
147293,1
190703,1
16553,1.25
26127,1.25
26129,1.25
26130,1.25
