date_date,orders_id,products_id,turnover,qty,purchase_price,purchase_cost,product_margin,product_margin_percent
03/09/2021,978011,96003,3.43,1,2,2,1.43,0.42
22/06/2021,913522,96003,3.43,1,2,2,1.43,0.42
30/06/2021,921022,96003,3.43,1,2,2,1.43,0.42
14/09/2021,988685,96003,2.98,1,2,2,0.98,0.33
05/08/2021,953875,96003,3.09,1,2,2,1.09,0.35
12/09/2021,987022,96003,2.98,1,2,2,0.98,0.33
26/08/2021,970667,96003,3.43,1,2,2,1.43,0.42
11/06/2021,904361,96003,3.09,1,2,2,1.09,0.35
27/06/2021,917099,96003,2.92,1,2,2,0.92,0.32
28/06/2021,918695,96003,3.43,1,2,2,1.43,0.42
30/06/2021,921164,96003,3.43,1,2,2,1.43,0.42
27/07/2021,945194,96003,2.92,1,2,2,0.92,0.32
26/09/2021,997716,96003,2.92,1,2,2,0.92,0.32
20/07/2021,939386,96003,3.43,1,2,2,1.43,0.42
03/07/2021,924186,96003,3.43,1,2,2,1.43,0.42
16/07/2021,935862,96003,3.43,1,2,2,1.43,0.42
30/07/2021,948261,96003,3.09,1,2,2,1.09,0.35
02/09/2021,976976,96003,3.43,1,2,2,1.43,0.42
08/09/2021,982149,96003,2.85,1,2,2,0.85,0.3
26/09/2021,998610,96003,3.43,1,2,2,1.43,0.42
15/06/2021,907943,96003,3.09,1,2,2,1.09,0.35
18/06/2021,910120,96003,3.43,1,2,2,1.43,0.42
07/07/2021,929067,96003,3.43,1,2,2,1.43,0.42
26/07/2021,944033,96003,3.43,1,2,2,1.43,0.42
22/08/2021,967055,96003,2.92,1,2,2,0.92,0.32
02/06/2021,894834,96003,3.09,1,2,2,1.09,0.35
09/07/2021,930370,96003,3.43,1,2,2,1.43,0.42
09/08/2021,956864,96003,3.09,1,2,2,1.09,0.35
25/07/2021,943683,96003,3.43,1,2,2,1.43,0.42
27/07/2021,945586,96003,3.43,1,2,2,1.43,0.42
05/08/2021,953484,96003,3.09,1,2,2,1.09,0.35
20/08/2021,964953,96003,3.43,1,2,2,1.43,0.42
20/07/2021,938774,96003,3.43,1,2,2,1.43,0.42
09/08/2021,956915,96003,3.09,1,2,2,1.09,0.35
14/09/2021,988246,96003,2.98,1,2,2,0.98,0.33
20/09/2021,993175,96003,3.43,1,2,2,1.43,0.42
21/06/2021,913146,96003,3.43,1,2,2,1.43,0.42
01/09/2021,975750,96003,3.43,1,2,2,1.43,0.42
10/06/2021,903549,96003,3.09,1,2,2,1.09,0.35
04/07/2021,924708,96003,3.43,1,2,2,1.43,0.42
11/07/2021,932089,96003,3.43,1,2,2,1.43,0.42
08/08/2021,955852,96003,3.09,1,2,2,1.09,0.35
14/09/2021,988243,96003,2.98,1,2,2,0.98,0.33
22/06/2021,913848,96003,3.43,1,2,2,1.43,0.42
01/08/2021,949655,96003,3.09,1,2,2,1.09,0.35
30/08/2021,973429,96003,3.43,1,2,2,1.43,0.42
15/09/2021,989117,96003,2.98,1,2,2,0.98,0.33
17/06/2021,909705,96003,3.43,1,2,2,1.43,0.42
21/06/2021,912234,96003,3.2,1,2,2,1.2,0.38
23/06/2021,914113,96003,3.43,1,2,2,1.43,0.42
03/07/2021,924085,96003,3.43,1,2,2,1.43,0.42
09/06/2021,902745,96003,3.09,1,2,2,1.09,0.35
12/08/2021,958990,96003,3.09,1,2,2,1.09,0.35
17/08/2021,962632,96003,2.92,1,2,2,0.92,0.32
02/09/2021,977216,96003,2.92,1,2,2,0.92,0.32
22/08/2021,966871,96003,2.92,1,2,2,0.92,0.32
13/06/2021,905889,96003,3.09,1,2,2,1.09,0.35
30/06/2021,921522,96003,3.09,1,2,2,1.09,0.35
19/07/2021,937879,96003,3.43,1,2,2,1.43,0.42
16/08/2021,961857,96003,3.43,1,2,2,1.43,0.42
22/08/2021,966159,96003,2.92,1,2,2,0.92,0.32
07/07/2021,927926,96003,3.43,1,2,2,1.43,0.42
03/08/2021,951699,96003,3.09,1,2,2,1.09,0.35
05/08/2021,953377,96003,3.09,1,2,2,1.09,0.35
14/08/2021,960399,96003,3.43,1,2,2,1.43,0.42
16/09/2021,990023,96003,2.98,1,2,2,0.98,0.33
15/09/2021,989524,96003,2.98,1,2,2,0.98,0.33
02/08/2021,950841,96003,3.09,1,2,2,1.09,0.35
06/09/2021,980543,96003,2.98,1,2,2,0.98,0.33
12/09/2021,985904,96003,2.98,1,2,2,0.98,0.33
13/06/2021,905172,96003,3.09,1,2,2,1.09,0.35
08/08/2021,956300,96003,3.09,1,2,2,1.09,0.35
01/09/2021,976209,96003,3.43,1,2,2,1.43,0.42
23/09/2021,995587,96003,2.92,1,2,2,0.92,0.32
11/08/2021,958435,96003,3.09,1,2,2,1.09,0.35
01/08/2021,949776,96003,3.09,1,2,2,1.09,0.35
11/09/2021,985347,96003,2.98,1,2,2,0.98,0.33
15/09/2021,989065,96003,2.98,1,2,2,0.98,0.33
15/07/2021,935582,96003,3.43,1,2,2,1.43,0.42
18/07/2021,937086,96003,3.43,1,2,2,1.43,0.42
30/06/2021,920608,96003,3.09,1,2,2,1.09,0.35
16/09/2021,990038,96003,2.98,1,2,2,0.98,0.33
01/06/2021,893447,96003,3.43,1,2,2,1.43,0.42
04/08/2021,951990,96003,3.09,1,2,2,1.09,0.35
10/09/2021,984905,96003,2.98,1,2,2,0.98,0.33
19/09/2021,992534,96003,3.43,1,2,2,1.43,0.42
01/09/2021,975833,96003,3.43,1,2,2,1.43,0.42
12/09/2021,986894,96003,2.98,1,2,2,0.98,0.33
10/08/2021,957334,96003,3.09,1,2,2,1.09,0.35
10/08/2021,957404,96003,3.09,1,2,2,1.09,0.35
11/09/2021,985495,96003,2.98,1,2,2,0.98,0.33
16/06/2021,909007,96003,3.22,1,2,2,1.22,0.38
05/09/2021,979618,96003,2.92,1,2,2,0.92,0.32
21/09/2021,994070,96003,3.43,1,2,2,1.43,0.42
29/06/2021,919384,96003,3.43,1,2,2,1.43,0.42
10/06/2021,903140,96003,3.09,1,2,2,1.09,0.35
25/07/2021,943079,96003,3.43,1,2,2,1.43,0.42
27/08/2021,971114,96003,3.43,1,2,2,1.43,0.42
07/07/2021,928970,96003,3.43,1,2,2,1.43,0.42
11/08/2021,957966,96003,3.09,1,2,2,1.09,0.35
20/09/2021,993295,96003,3.43,1,2,2,1.43,0.42
22/06/2021,913339,96003,3.43,1,2,2,1.43,0.42
07/07/2021,928058,96003,3.43,1,2,2,1.43,0.42
05/08/2021,953189,96003,3.09,1,2,2,1.09,0.35
23/08/2021,967760,96003,2.92,1,2,2,0.92,0.32
13/09/2021,987688,96003,2.98,1,2,2,0.98,0.33
